Date,Année,Trimestre,Mois,Mois_Nom,Ticker,Company,Open,High,Low,Close,Volume,Variation_%,MA_30j,MA_90j
2018-02-13,2018,Q1,2,February,LYV,Live Nation,43.38,44.38,43.18,44.16,1341600,1.73,43.88,
2018-02-14,2018,Q1,2,February,LYV,Live Nation,43.74,45.39,43.6,45.31,1431700,2.6,43.97,
2018-02-15,2018,Q1,2,February,LYV,Live Nation,45.51,47.05,45.19,46.93,1778500,3.58,44.11,
2018-02-16,2018,Q1,2,February,LYV,Live Nation,46.92,47.25,46.48,46.95,931700,0.04,44.27,
2018-02-20,2018,Q1,2,February,LYV,Live Nation,46.86,47.6,46.54,46.86,1552500,-0.19,44.39,
2018-02-21,2018,Q1,2,February,LYV,Live Nation,47.14,48.36,47.14,47.36,1935800,1.07,44.53,
2018-02-22,2018,Q1,2,February,LYV,Live Nation,47.46,48.93,47.39,47.83,1637700,0.99,44.67,
2018-02-23,2018,Q1,2,February,LYV,Live Nation,47.9,48.44,47.42,48.27,1349100,0.92,44.82,
2018-02-26,2018,Q1,2,February,LYV,Live Nation,48.4,49.11,48.4,48.59,1912200,0.66,44.99,
2018-02-27,2018,Q1,2,February,LYV,Live Nation,48.48,48.73,47.5,47.75,2479400,-1.73,45.1,
2018-02-28,2018,Q1,2,February,LYV,Live Nation,47.02,47.6,44.8,44.8,3443200,-6.18,45.13,
2018-03-01,2018,Q1,3,March,LYV,Live Nation,44.82,44.93,41.94,42.09,2921300,-6.05,45.13,
2018-03-02,2018,Q1,3,March,LYV,Live Nation,41.91,43.98,41.57,43.89,2980600,4.28,45.16,
2018-03-05,2018,Q1,3,March,LYV,Live Nation,43.75,44.17,43.42,44.03,2530700,0.32,45.17,
2018-03-06,2018,Q1,3,March,LYV,Live Nation,44.04,44.23,43.36,44.12,2086600,0.2,45.19,
2018-03-07,2018,Q1,3,March,LYV,Live Nation,43.67,44.15,43.41,43.89,1508800,-0.52,45.19,
2018-03-08,2018,Q1,3,March,LYV,Live Nation,44.05,44.51,43.48,44.51,1269600,1.41,45.17,
2018-03-09,2018,Q1,3,March,LYV,Live Nation,44.82,45.42,44.67,45.05,1230600,1.21,45.17,
2018-03-12,2018,Q1,3,March,LYV,Live Nation,45.14,45.62,45.08,45.48,639400,0.95,45.17,
2018-03-13,2018,Q1,3,March,LYV,Live Nation,45.69,45.93,45.06,45.15,743800,-0.73,45.17,
2018-03-14,2018,Q1,3,March,LYV,Live Nation,45.4,45.51,44.54,44.81,795700,-0.75,45.16,
