Date,Année,Trimestre,Mois,Mois_Nom,Ticker,Company,Open,High,Low,Close,Volume,Variation_%,MA_30j,MA_90j
2021-11-01,2021,Q4,11,November,UMG.AS,Universal Music Group,22.74,23.04,22.53,22.64,2005521,-0.44,22.0,
2021-11-02,2021,Q4,11,November,UMG.AS,Universal Music Group,22.69,22.77,22.32,22.48,1460620,-0.71,22.0,
2021-11-03,2021,Q4,11,November,UMG.AS,Universal Music Group,22.42,22.69,22.39,22.65,1330685,0.76,22.03,
2021-11-04,2021,Q4,11,November,UMG.AS,Universal Music Group,22.68,23.41,22.66,23.41,3183764,3.36,22.12,
2021-11-05,2021,Q4,11,November,UMG.AS,Universal Music Group,23.45,23.72,23.08,23.52,1803844,0.47,22.2,
2021-11-08,2021,Q4,11,November,UMG.AS,Universal Music Group,23.47,23.5,23.21,23.3,978874,-0.94,22.27,
2021-11-09,2021,Q4,11,November,UMG.AS,Universal Music Group,23.3,23.96,23.27,23.96,1696615,2.83,22.38,
2021-11-10,2021,Q4,11,November,UMG.AS,Universal Music Group,24.01,24.92,23.97,24.89,4125753,3.88,22.52,
2021-11-11,2021,Q4,11,November,UMG.AS,Universal Music Group,24.88,25.15,24.73,25.09,1913169,0.8,22.66,
2021-11-12,2021,Q4,11,November,UMG.AS,Universal Music Group,25.14,25.32,24.72,24.72,1037126,-1.47,22.76,
2021-11-15,2021,Q4,11,November,UMG.AS,Universal Music Group,24.51,24.77,24.18,24.22,1309665,-2.02,22.86,
2021-11-16,2021,Q4,11,November,UMG.AS,Universal Music Group,24.08,24.38,23.56,23.77,1578126,-1.86,22.92,
2021-11-17,2021,Q4,11,November,UMG.AS,Universal Music Group,23.81,24.07,23.5,23.73,1443776,-0.17,22.98,
2021-11-18,2021,Q4,11,November,UMG.AS,Universal Music Group,23.69,23.79,22.96,22.98,3447124,-3.16,23.0,
2021-11-19,2021,Q4,11,November,UMG.AS,Universal Music Group,22.56,22.98,22.45,22.66,3796495,-1.39,23.0,
2021-11-22,2021,Q4,11,November,UMG.AS,Universal Music Group,22.64,22.85,22.51,22.54,2024501,-0.53,23.01,
2021-11-23,2021,Q4,11,November,UMG.AS,Universal Music Group,22.54,22.57,22.24,22.27,1665790,-1.2,23.02,
2021-11-24,2021,Q4,11,November,UMG.AS,Universal Music Group,22.4,22.66,22.04,22.66,2632752,1.75,23.04,
2021-11-25,2021,Q4,11,November,UMG.AS,Universal Music Group,22.91,23.31,22.67,23.16,2246105,2.21,23.07,
2021-11-26,2021,Q4,11,November,UMG.AS,Universal Music Group,22.4,23.09,22.23,23.09,2612340,-0.3,23.1,
2021-11-29,2021,Q4,11,November,UMG.AS,Universal Music Group,23.14,23.26,22.56,22.65,2117608,-1.91,23.11,
2021-11-30,2021,Q4,11,November,UMG.AS,Universal Music Group,22.64,23.2,22.64,22.92,7406070,1.19,23.13,
