Date,Année,Trimestre,Mois,Mois_Nom,Ticker,Company,Open,High,Low,Close,Volume,Variation_%,MA_30j,MA_90j
2020-07-15,2020,Q3,7,July,WMG,Warner Music Group,26.1,26.47,25.92,26.21,579000,-0.04,27.19,
2020-07-16,2020,Q3,7,July,WMG,Warner Music Group,26.04,26.98,25.93,26.26,300100,0.19,27.18,
2020-07-17,2020,Q3,7,July,WMG,Warner Music Group,26.27,26.36,26.02,26.02,380900,-0.91,27.16,
2020-07-20,2020,Q3,7,July,WMG,Warner Music Group,26.02,26.21,25.38,25.61,466500,-1.58,27.13,
2020-07-21,2020,Q3,7,July,WMG,Warner Music Group,25.61,25.9,24.59,25.2,1565700,-1.6,27.06,
2020-07-22,2020,Q3,7,July,WMG,Warner Music Group,25.12,25.43,24.59,24.61,1093200,-2.34,26.93,
2020-07-23,2020,Q3,7,July,WMG,Warner Music Group,24.66,25.47,23.98,25.06,1133000,1.83,26.85,
2020-07-24,2020,Q3,7,July,WMG,Warner Music Group,24.78,25.2,24.06,25.07,440000,0.04,26.81,
2020-07-27,2020,Q3,7,July,WMG,Warner Music Group,25.0,25.64,24.87,25.34,289700,1.08,26.74,
2020-07-28,2020,Q3,7,July,WMG,Warner Music Group,25.33,26.8,25.04,26.11,751200,3.04,26.67,
2020-07-29,2020,Q3,7,July,WMG,Warner Music Group,26.41,26.71,25.24,26.54,1011000,1.65,26.61,
2020-07-30,2020,Q3,7,July,WMG,Warner Music Group,26.45,26.7,25.87,26.46,329300,-0.3,26.53,
2020-07-31,2020,Q3,7,July,WMG,Warner Music Group,26.54,26.71,25.86,26.67,799800,0.79,26.46,
2020-08-03,2020,Q3,8,August,WMG,Warner Music Group,26.76,27.11,26.33,26.48,1548000,-0.71,26.37,
2020-08-04,2020,Q3,8,August,WMG,Warner Music Group,26.59,26.99,25.1,25.61,1206500,-3.29,26.28,
2020-08-05,2020,Q3,8,August,WMG,Warner Music Group,25.67,26.0,24.94,25.33,1721400,-1.09,26.2,
2020-08-06,2020,Q3,8,August,WMG,Warner Music Group,25.49,25.82,25.23,25.54,498000,0.83,26.13,
2020-08-07,2020,Q3,8,August,WMG,Warner Music Group,25.47,25.53,25.06,25.22,660300,-1.25,26.07,
2020-08-10,2020,Q3,8,August,WMG,Warner Music Group,25.58,26.38,25.42,25.79,551800,2.26,26.03,
2020-08-11,2020,Q3,8,August,WMG,Warner Music Group,25.64,26.36,25.14,25.22,643500,-2.21,25.94,
2020-08-12,2020,Q3,8,August,WMG,Warner Music Group,25.47,26.38,25.01,26.05,994600,3.29,25.94,
2020-08-13,2020,Q3,8,August,WMG,Warner Music Group,26.01,26.31,25.59,26.22,445100,0.65,25.94,
2020-08-14,2020,Q3,8,August,WMG,Warner Music Group,26.18,26.92,26.09,26.8,491100,2.21,25.97,
2020-08-17,2020,Q3,8,August,WMG,Warner Music Group,26.89,27.62,26.16,27.44,536900,2.39,26.01,
