Ticker,Company,Année,Prix_Debut,Prix_Fin,Variation_%,Rendement
LYV,Live Nation,2018,42.65,49.25,15.47,Positif
LYV,Live Nation,2019,48.31,71.47,47.94,Positif
LYV,Live Nation,2020,71.89,73.48,2.21,Positif
LYV,Live Nation,2021,70.67,119.69,69.36,Positif
LYV,Live Nation,2022,121.14,69.74,-42.43,Négatif
LYV,Live Nation,2023,68.86,93.6,35.93,Positif
LYV,Live Nation,2024,91.81,129.5,41.05,Positif
LYV,Live Nation,2025,129.23,144.09,11.5,Positif
SPOT,Spotify,2018,149.01,113.5,-23.83,Négatif
SPOT,Spotify,2019,113.74,149.55,31.48,Positif
SPOT,Spotify,2020,151.62,314.66,107.53,Positif
SPOT,Spotify,2021,311.0,234.03,-24.75,Négatif
SPOT,Spotify,2022,244.16,78.95,-67.66,Négatif
SPOT,Spotify,2023,81.9,187.91,129.44,Positif
SPOT,Spotify,2024,188.8,447.38,136.96,Positif
SPOT,Spotify,2025,457.79,576.68,25.97,Positif
UMG.AS,Universal Music Group,2021,22.55,22.44,-0.48,Négatif
UMG.AS,Universal Music Group,2022,22.15,20.83,-5.96,Négatif
UMG.AS,Universal Music Group,2023,21.22,24.48,15.35,Positif
UMG.AS,Universal Music Group,2024,24.02,23.91,-0.47,Négatif
UMG.AS,Universal Music Group,2025,23.52,21.77,-7.43,Négatif
WMG,Warner Music Group,2020,26.64,33.88,27.16,Positif
WMG,Warner Music Group,2021,32.88,39.06,18.81,Positif
WMG,Warner Music Group,2022,38.85,32.34,-16.76,Négatif
WMG,Warner Music Group,2023,32.65,33.78,3.46,Positif
WMG,Warner Music Group,2024,33.8,29.9,-11.55,Négatif
WMG,Warner Music Group,2025,30.19,30.11,-0.26,Négatif
