Semestre,Tri_Sem,Ticker,Company,Close_Moyen,Volume_Total,Volume_M
2018-S1,20181,LYV,Live Nation,43.56,205271800,205.27
2018-S2,20182,LYV,Live Nation,51.73,169008400,169.01
2019-S1,20191,LYV,Live Nation,60.54,151618500,151.62
2019-S2,20192,LYV,Live Nation,68.85,187027700,187.03
2020-S1,20201,LYV,Live Nation,52.73,586267700,586.27
2020-S2,20202,LYV,Live Nation,57.34,303961700,303.96
2021-S1,20211,LYV,Live Nation,83.16,285156300,285.16
2021-S2,20212,LYV,Live Nation,95.99,274508000,274.51
2022-S1,20221,LYV,Live Nation,105.16,289380100,289.38
2022-S2,20222,LYV,Live Nation,81.9,233112100,233.11
2023-S1,20231,LYV,Live Nation,75.69,238514400,238.51
2023-S2,20232,LYV,Live Nation,86.6,259385500,259.39
2024-S1,20241,LYV,Live Nation,94.54,282500500,282.5
2024-S2,20242,LYV,Live Nation,111.3,266059900,266.06
2025-S1,20251,LYV,Live Nation,137.1,319020100,319.02
2025-S2,20252,LYV,Live Nation,150.95,328984400,328.98
2018-S1,20181,SPOT,Spotify,159.9,196916100,196.92
2018-S2,20182,SPOT,Spotify,161.6,211945000,211.94
2019-S1,20191,SPOT,Spotify,137.18,211081500,211.08
2019-S2,20192,SPOT,Spotify,139.25,174812400,174.81
2020-S1,20201,SPOT,Spotify,156.62,254944100,254.94
2020-S2,20202,SPOT,Spotify,270.24,227097300,227.1
2021-S1,20211,SPOT,Spotify,282.25,195082400,195.08
2021-S2,20212,SPOT,Spotify,242.96,174089100,174.09
2022-S1,20221,SPOT,Spotify,141.71,302337500,302.34
2022-S2,20222,SPOT,Spotify,93.94,221547200,221.55
2023-S1,20231,SPOT,Spotify,129.7,220708600,220.71
2023-S2,20232,SPOT,Spotify,163.47,236099900,236.1
2024-S1,20241,SPOT,Spotify,268.52,244788100,244.79
2024-S2,20242,SPOT,Spotify,380.35,269375100,269.38
2025-S1,20251,SPOT,Spotify,601.04,282887300,282.89
2025-S2,20252,SPOT,Spotify,662.83,231402100,231.4
2021-S2,20212,UMG.AS,Universal Music Group,22.53,247839220,247.84
2022-S1,20221,UMG.AS,Universal Music Group,19.53,267508020,267.51
2022-S2,20222,UMG.AS,Universal Music Group,18.97,205279509,205.28
2023-S1,20231,UMG.AS,Universal Music Group,19.82,221306909,221.31
2023-S2,20232,UMG.AS,Universal Music Group,22.39,168399864,168.4
2024-S1,20241,UMG.AS,Universal Music Group,26.13,140435831,140.44
2024-S2,20242,UMG.AS,Universal Music Group,22.94,191121890,191.12
2025-S1,20251,UMG.AS,Universal Music Group,25.43,261397167,261.4
2025-S2,20252,UMG.AS,Universal Music Group,23.53,215408812,215.41
2020-S1,20201,WMG,Warner Music Group,27.59,95118700,95.12
2020-S2,20202,WMG,Warner Music Group,26.48,105014700,105.01
2021-S1,20211,WMG,Warner Music Group,32.04,104306000,104.31
2021-S2,20212,WMG,Warner Music Group,37.38,106755600,106.76
2022-S1,20221,WMG,Warner Music Group,30.74,191389200,191.39
2022-S2,20222,WMG,Warner Music Group,26.02,152185700,152.19
2023-S1,20231,WMG,Warner Music Group,28.46,195121700,195.12
2023-S2,20232,WMG,Warner Music Group,30.2,191365400,191.37
2024-S1,20241,WMG,Warner Music Group,31.76,233193300,233.19
2024-S2,20242,WMG,Warner Music Group,29.53,216601800,216.6
2025-S1,20251,WMG,Warner Music Group,29.23,224293300,224.29
2025-S2,20252,WMG,Warner Music Group,30.64,262438500,262.44
